id,name,type,searchcode,system,vendor
CMDB_PROCESS-3367711835,topo,CMDB_PROCESS,LG-PRO-ZZZ-Z00152,BOMC系统,
CMDB_PROCESS-3396545801,topo,CMDB_PROCESS,LG-PRO-ZZZ-Z00153,BOMC系统,
CMDB_HOST-2390213738,亿阳资产91,CMDB_HOST,HW-ISS-ZZZ-Z00243,BOSS系统,华为
CMDB_MIDWARE-1780807150,应用中间件0901,CMDB_MIDWARE,SW-AMW-ZZZ-Z00021,BASS系统,Borland
CMDB_DISKARRAY-2186322024,磁盘阵列IT,CMDB_DISKARRAY,HW-DKA-ZZZ-Z00061,BOSS系统,EMC
CMDB_HOST-2359383317,10.1.1.120,CMDB_HOST,HW-EPS-ZZZ-Z00362,,
CMDB_CVD-4257141213,system,CMDB_CVD,CP-CVD-ZZZ-Z01099,,
CMDB_CVD-1313862581,system,CMDB_CVD,CP-CVD-ZZZ-Z01100,,
CMDB_CVD-3757693967,system,CMDB_CVD,CP-CVD-ZZZ-Z01097,,
CMDB_CVD-2519642099,system,CMDB_CVD,CP-CVD-ZZZ-Z01098,,
CMDB_CVD-852033659,硬盘 2,CMDB_CVD,CP-CVD-ZZZ-Z00946,,
CMDB_HOST-2074399744,TESTTEE,CMDB_HOST,LG-PRS-ZZZ-Z00363,BOSS系统,IBM
CMDB_MESSAGEQUEUESOFT-565356984,Active MQ,CMDB_MESSAGEQUEUESOFT,HW-MQS-ZZZ-Z00002,BOSS系统,
CMDB_CVD-1273469714,硬盘 1,CMDB_CVD,CP-CVD-ZZZ-Z00944,,
CMDB_REDIS_CLUSTER-2479758977,redis集群2,CMDB_REDIS_CLUSTER,LG-RDC-ZZZ-Z00041,BOMC系统,
CMDB_HOST-2565787294,测试WEB服务器12,CMDB_HOST,HW-EPS-ZZZ-Z00384,BOSS系统,Fujitsu
CMDB_HOST-1840753385,测试WEB服务器13,CMDB_HOST,HW-EPS-ZZZ-Z00385,BOSS系统,Fujitsu
CMDB_CPS-3951198091,node-d249.econe.com,CMDB_CPS,CP-CPS-ZZZ-Z00167,,
CMDB_CPS-615055560,node-5b2b.econe.com,CMDB_CPS,CP-CPS-ZZZ-Z00168,,
CMDB_CPS-315745245,node-494f.econe.com,CMDB_CPS,CP-CPS-ZZZ-Z00169,,
CMDB_CASSANDRA_CLUSTER-3643408245,Cassandra集群,CMDB_CASSANDRA_CLUSTER,LG-CAC-ZZZ-Z00002,BOSS系统,
CMDB_KAFKA-3480282561,kafka_153,CMDB_KAFKA,KA-KAF-ZZZ-Z00001,BOSS系统,
CMDB_SWITCH-1788798273,Cisco Catalyst 2950,CMDB_SWITCH,HW-SWT-ZZZ-Z00061,BOMC系统,Cisco
CMDB_ROUTER-1757102349,华为2600(路由器),CMDB_ROUTER,HW-RUT-ZZZ-Z00021,BOSS系统,ZTE
