id,start_id,end_id,type,subtype
CMDB_TO_CMDB-2844353982,CMDB_BUSI_SYS-3150231567,CMDB_PROCESS-2969878146,包含,BasedOn
CMDB_TO_CMDB-4038361819,CMDB_BUSI_SYS-1479059605,CMDB_PROCESS-3002929041,包含,BasedOn
CMDB_TO_CMDB-2958606996,CMDB_BUSI_INS-3592957331,CMDB_BUSI_SYS-1479059605,关联,Depends
CMDB_TO_CMDB-559166927,CMDB_BUSI_SYS-2897462023,CMDB_PROCESS-2010869669,包含,BasedOn
CMDB_TO_CMDB-1218619119,CMDB_BUSI_SYS-1672441606,CMDB_PROCESS-3113815162,包含,BasedOn
CMDB_TO_CMDB-4211015656,CMDB_BUSI_SYS-2897462023,CMDB_PROCESS-3367711835,包含,BasedOn
CMDB_TO_CMDB-1617091304,CMDB_BUSI_SYS-2897462023,CMDB_PROCESS-3396545801,包含,BasedOn
CMDB_TO_CMDB-938128736,CMDB_MIDWARESERVICE-3603161159,CMDB_HOST-2222071117,包含,RunsOn
CMDB_TO_CMDB-2435814276,CMDB_CVM-3611852704,CMDB_CVD-4257141213,关联,StorConnects
CMDB_TO_CMDB-3028548213,CMDB_CVM-4236534049,CMDB_CPS-615055560,包含,RunsOn
CMDB_TO_CMDB-2628980658,CMDB_HOST-2222071117,CMDB_MAGNETICTAPEARCHIVESS-2238749986,关联,StorConnects
CMDB_TO_CMDB-1954758242,CMDB_CVM-1216118186,CMDB_CVD-580817015,关联,StorConnects
CMDB_TO_CMDB-1994769856,CMDB_CVM-2754138909,CMDB_CVD-2519642099,关联,StorConnects
CMDB_TO_CMDB-1420488341,CMDB_MIDWARESERVICE-3603161159,CMDB_HOST-4033561791,包含,RunsOn
CMDB_TO_CMDB-892517513,CMDB_DB-3595918538,CMDB_HOST-4033561791,关联,Deployed
CMDB_TO_CMDB-2985706762,CMDB_CONTAINERINS-357206878,CMDB_CONTAINERSOFT-629385165,基于,BasedOn
CMDB_TO_CMDB-3589643090,CMDB_CONTAINERSOFT-629385165,CMDB_HOST-2359383317,部署,Deployed
CMDB_TO_CMDB-3402066283,CMDB_ACTIVEMQ_CLUSTER-1579590020,CMDB_HOST-3678605329,部署,Deployed
CMDB_TO_CMDB-3291283637,CMDB_ACTIVEMQ_CLUSTER-1579590020,CMDB_HOST-594299771,部署,Deployed
CMDB_TO_CMDB-706171919,CMDB_CASSANDRA_CLUSTER-3643408245,CMDB_HOST-2153410476,部署,Deployed
CMDB_TO_CMDB-984977348,CMDB_ACTIVEMQ_CLUSTER-1579590020,CMDB_ROUTER-1757102349,部署,Deployed
CMDB_TO_CMDB-4196551148,CMDB_MONGODB-1881865831,CMDB_NONRELATIONALDB-243015847,连接,RunsOn
CMDB_TO_CMDB-1016280600,CMDB_DB-1896282780,CMDB_HOST-4134702446,关联,Deployed
CMDB_TO_CMDB-973523168,CMDB_MIDWARESERVICE-3603161159,CMDB_MIDWARE-1780807150,包含,BasedOn
CMDB_TO_CMDB-2175942334,CMDB_DBOBJECT-4183926066,CMDB_DB-1896282780,包含,BasedOn
CMDB_TO_CMDB-71228836,CMDB_MIDWARESERVICE-3603161159,CMDB_HOST-1475088098,包含,RunsOn
CMDB_TO_CMDB-2540000715,CMDB_PROCESS-3113815162,CMDB_MONGODB-1881865831,使用,Use
CMDB_TO_CMDB-2714919691,CMDB_PROCESS-575680069,CMDB_ACTIVEMQ-896654814,使用,Use
CMDB_TO_CMDB-1247005687,CMDB_TIMESTEN_CLUSTER-356587984,CMDB_HOST-1840753385,部署,Deployed
CMDB_TO_CMDB-963689549,CMDB_ACTIVEMQ-896654814,CMDB_HOST-2074399744,部署,Deployed
